Usage date,Interval,Total kWh,__source_file
10/12/2025,9:0 PM,1.8,hourlyUsage10_1_2025_to_10_31_2025.csv
10/12/2025,10:0 PM,2.5,hourlyUsage10_1_2025_to_10_31_2025.csv
10/12/2025,11:0 PM,2,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,12:0 AM,2.3,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,1:0 AM,1.9,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,2:0 AM,2.4,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,3:0 AM,1.9,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,4:0 AM,1.9,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,5:0 AM,1.5,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,6:0 AM,0.5,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,7:0 AM,0.7,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,8:0 AM,0.8,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,9:0 AM,1.1,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,10:0 AM,1.9,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,11:0 AM,2.2,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,12:0 PM,2.2,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,1:0 PM,1.8,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,2:0 PM,2,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,3:0 PM,3,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,4:0 PM,3.6,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,5:0 PM,2.3,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,6:0 PM,1.5,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,7:0 PM,1.8,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,8:0 PM,1.2,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,9:0 PM,2.7,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,10:0 PM,1.9,hourlyUsage10_1_2025_to_10_31_2025.csv
10/13/2025,11:0 PM,2.5,hourlyUsage10_1_2025_to_10_31_2025.csv
10/14/2025,12:0 AM,2.1,hourlyUsage10_1_2025_to_10_31_2025.csv
10/14/2025,1:0 AM,2.3,hourlyUsage10_1_2025_to_10_31_2025.csv
10/14/2025,2:0 AM,1.9,hourlyUsage10_1_2025_to_10_31_2025.csv
10/14/2025,3:0 AM,2.4,hourlyUsage10_1_2025_to_10_31_2025.csv
10/14/2025,4:0 AM,1.9,hourlyUsage10_1_2025_to_10_31_2025.csv
